"unid","gender","working","volunteer","leadershiprole","peoplelive","peoplelive_15plus","numchildren","numearnincome","anygrant","anyhhincome","financial_situation_now","financial_situation_5years","givemoney_yes","cft_score","com_score","grit_score","num_score","opt_score","age_squared","survey_year","survey_month"
59853,"1","0","0","1",8,NA,1,1,"1","1",2,10,"1",8,7,2,6,7,484,2016,5
91957,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,8,NA,NA,441,2018,5
38662,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,NA,7,NA,NA,625,2017,11
94792,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,NA,NA,324,2016,4
72840,"0","0","0","1",2,NA,0,1,"0","1",1,5,"0",5,NA,4,NA,6,441,2016,2
4414,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,4,NA,NA,1024,2018,5
1874,"1","0","1","1",5,0,0,NA,"1","1",2,7,"1",6,6,7,3,6,1089,2017,7
17091,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,6,2,6,NA,841,2018,8
59484,"0","0","0","0",3,NA,1,1,"0","1",1,10,"0",8,6,5,3,7,529,2016,11
41900,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,4,NA,4,NA,NA,529,2016,3
5020,"0","0","1","0",5,0,1,NA,"1","1",3,7,"1",NA,NA,2,NA,6,961,2017,7
3008,"0","0","0","0",1,5,0,NA,"0","1",10,10,"0",NA,NA,1,NA,0,1024,2017,11
99159,"0","0","0","1",4,NA,0,1,"1","1",2,10,"1",4,NA,6,NA,9,324,2017,1
3236,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,5,NA,NA,1024,2018,5
46501,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,7,NA,9,NA,NA,529,2016,5
93237,"0","0","1","1",5,5,0,NA,"0","1",2,3,"0",NA,NA,1,NA,1,441,2018,4
58174,"1","1",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,3,NA,NA,576,2018,7
98806,"1","0","0","1",5,NA,0,1,"1","1",3,8,"0",8,7,3,NA,4,324,2016,10
7716,"0","0","1","0",2,1,1,NA,"1","1",4,8,"0",3,4,2,4,1,900,2017,7
60264,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,576,2018,1
44919,"1","1","0","0",4,3,0,NA,"0","1",4,10,"1",NA,NA,0,NA,5,625,2017,11
16236,"0","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,0,NA,NA,784,2018,5
95358,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,8,3,NA,361,2017,5
67924,"0","0","0","0",1,15,0,NA,"0","1",5,10,"1",5,7,6,2,9,484,2017,5
24736,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,0,NA,NA,729,2018,6
57727,"1","0","0","0",1,NA,0,NA,"0","0",NA,NA,"1",6,5,9,4,NA,484,2016,6
96430,"1","0",NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,6,NA,NA,400,2018,5
